mangaId,title,genres
62,Ao Ashi,"Award Winning, Sports, Team Sports"
63,Tongari Boushi no Atelier,Fantasy
64,Shigatsu wa Kimi no Uso,"Award Winning, Drama, Romance, Music, School"
65,Spy x Family,"Action, Comedy, Childcare"
66,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,"Drama, Mystery, Supernatural, Suspense, Psychological"
67,Jibaku Shounen Hanako-kun,"Supernatural, School"
68,Neon Genesis Evangelion,"Action, Drama, Mystery, Sci-Fi, Mecha, Psychological"
69,Skip Beat!,"Comedy, Drama, Romance, Love Polygon, Showbiz"
70,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Action, Supernatural"
71,Pandora Hearts,"Adventure, Fantasy, Mystery, Supernatural"
72,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Drama, Historical, Samurai"
73,One Outs,"Sports, Adult Cast, Psychological, Team Sports"
74,Otoyomegatari,"Award Winning, Romance, Slice of Life, Historical"
75,Chihayafuru,"Award Winning, Drama, Love Polygon, Strategy Game"
76,Blue Lock,"Award Winning, Sports, Team Sports"
77,Diamond no Ace Act II,"Sports, School, Team Sports"
78,Shingeki no Kyojin,"Action, Award Winning, Drama, Gore, Military, Survival"
79,Kimi wa Houkago Insomnia,"Romance, School"
80,Tobaku Datenroku Kaiji: One Poker-hen,"Drama, Adult Cast, High Stakes Game, Psychological, Strategy Game"
81,Given,"Boys Love, Drama, Music, School"
82,Kidou Senshi Gundam: The Origin,"Action, Award Winning, Drama, Sci-Fi, Mecha, Military, Space"
83,Kamisama Hajimemashita,"Comedy, Fantasy, Romance, Supernatural, Mythology"
84,Kakukaku Shikajika,"Award Winning, Slice of Life, Memoir, Otaku Culture, Visual Arts"
85,Sasaki to Miyano,"Boys Love, Otaku Culture, School"
86,Watashitachi no Shiawase na Jikan,"Drama, Romance, Music, Psychological"
87,Skip to Loafer,"Award Winning, Drama, School"
88,Jujutsu Kaisen,"Action, Supernatural, School"
89,Sakamichi no Apollon,"Award Winning, Drama, Romance, Love Polygon, Music, School"
90,Tokyo Ghoul,"Action, Fantasy, Horror, Gore, Psychological"
91,Fruits Basket,"Award Winning, Drama, Romance, Supernatural, Love Polygon, School"
92,Bakemonogatari,"Action, Comedy, Drama, Mystery, Romance, Supernatural, Vampire"
93,Bungou Stray Dogs,"Action, Supernatural"
94,Vanitas no Karte,"Fantasy, Supernatural, Historical, Vampire"
95,Shimanami Tasogare,"Drama, Slice of Life, Psychological"
96,Kimi no Suizou wo Tabetai,Drama
97,Ouran Koukou Host Club,"Comedy, Drama, Romance, Crossdressing, Reverse Harem, School"
98,Ping Pong,"Drama, Sports"
99,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,"Drama, Fantasy, Horror, Mystery, Supernatural, Suspense, Psychological"
100,Spirit Circle,"Action, Adventure, Comedy, Drama, Romance, Supernatural, Reincarnation"
101,Chikan Otoko,"Comedy, Drama, Romance, Slice of Life"
